3  Stimmabgabe nach Geschlecht und Altersgruppen in den Ländern 2013;;;;;;;;;;;;;;
3.2  Gültige Zweitstimmen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Partei;Insgesamt;;Davon Wähler im Alter von ... bis unter ... Jahren;;;;;;;;;;;
;;;18 - 25;;25 - 35;;35 - 45;;45 - 60;;60 - 70;;70 und mehr;
;1000;%;1000;%;1000;%;1000;%;1000;%;1000;%;1000;%
;;;;;;;;;;;;;;
;Schleswig-Holstein;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;
Sonstige;348,18;7,832612716;49,23916173;15,10891349;67,85484495;13,84395979;63,32868904;10,06443676;100,2653214;7,494991823;35,82644298;5,235869111;31,66553995;3,237857986
dar. PIRATEN;74,601;1,678214548;20,28676574;6,224943272;21,79929336;4,447560686;12,63662815;2,008261133;15,44741127;1,154718496;2,8739269;0,420011138;1,556974583;0,159203431
dar. NPD;.;.;.;.;.;.;.;.;.;.;.;.;.;.
dar. AfD;165,875;3,731502769;14,36538068;4,407981094;22,18843895;4,526955398;28,70431252;4,561798805;54,96831421;4,108968684;24,2162798;3,539097405;21,43227384;2,191488259
Zusammen;4445,26;100;325,894789;100;490,1404366;100;629,2323214;100;1337,764253;100;684,250164;100;977,9780361;100
;Männer;;;;;;;;;;;;;
CDU;828,7274497;38,44418367;49,39261662;29,47214085;86,72927983;35,87277457;121,3716838;39,57432096;234,5831084;35,03371976;126,4007869;37,89354625;210,2499742;48,17268446
SPD;735,6560563;34,12665594;54,5686794;32,56065208;68,62277543;28,38360192;89,42075064;29,15643399;239,425526;35,75690867;125,1421969;37,51623502;158,4761279;36,31020898
FDP;106,657047;4,947758287;8,186739768;4,88495577;11,76519567;4,866294438;15,85625479;5,17007342;28,39929883;4,241281837;18,30580919;5,487877444;24,1437488;5,531839882
DIE LINKE;121,2208958;5,623366747;9,732422703;5,807251211;15,54745955;6,430706133;17,08657807;5,571231311;44,65954109;6,669661163;21,87433903;6,557682894;12,32055533;2,822897965
GRÜNE;162,4968904;7,538136094;15,20298387;9,071487046;18,88390549;7,810719586;26,69721258;8,704864484;66,32529795;9,905324888;21,52056446;6,451625223;13,86692606;3,177203973
